step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
241,1038152,1928,0.011804973423304162,0.25,0.8620689655172413,0.008012439965116457,0.5,0.9152542372881356
242,1044368,1936,0.008012574894249811,0.25,0.8983050847457628,,,
243,1047192,1944,0.011361278584268426,0.375,0.9315068493150684,,,
244,1049504,1952,0.011082136387311328,0.5,0.9626168224299065,,,
245,1052712,1960,0.008366906306803024,1.0,1.0,,,
246,1057648,1968,0.007641677415359468,0.75,0.9767441860465116,,,
247,1061496,1976,0.009936499251852367,0.625,0.9487179487179487,,,
248,1064768,1984,0.006431224961925612,0.875,0.9876543209876543,,,
249,1067976,1992,0.009510216575641193,0.625,0.9365079365079365,0.0125756534474178,0.625,0.961038961038961
250,1069968,2000,0.00922224299530456,1.0,1.0,,,
251,1074264,2008,0.00707094066328411,0.875,0.987012987012987,,,
252,1076384,2016,0.013595765852976064,0.375,0.8955223880597015,,,
253,1078824,2024,0.010143148975422766,0.875,0.9880952380952381,,,
254,1085488,2032,0.006091330453819487,0.5,0.9473684210526315,,,
255,1089656,2040,0.009240622790816937,0.375,0.9066666666666666,,,
256,1092800,2048,0.013461241228962596,0.25,0.9,,,
257,1096136,2056,0.008309425101024588,0.75,0.9726027397260274,0.01033177527868766,0.375,0.9333333333333333
258,1099088,2064,0.011798556241180787,0.75,0.9516129032258065,,,
259,1108504,2072,0.003982385343456833,0.625,0.9693877551020408,,,
260,1111840,2080,0.006697377727841279,0.75,0.9696969696969697,,,
261,1115752,2088,0.008868839948839479,0.75,0.96875,,,
262,1122352,2096,0.005932241375192051,0.625,0.9647058823529412,,,
263,1126840,2104,0.008288040270049635,0.375,0.9032258064516129,,,
264,1128576,2112,0.01094904872881206,0.875,0.9866666666666667,,,
265,1131848,2120,0.013934616650706002,0.5,0.9295774647887324,0.010902017291781552,0.5,0.918918918918919
266,1142288,2128,0.004722270694093674,0.5,0.9166666666666666,,,
267,1145752,2136,0.008363190749893388,0.5,0.9436619718309859,,,
268,1148320,2144,0.012066110782852524,0.5,0.9428571428571428,,,
269,1151080,2152,0.008224841220093272,0.875,0.9824561403508771,,,
270,1153520,2160,0.010020083131218339,0.875,0.9859154929577465,,,
